,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Health Expenditure Australia 2022–23 - Datacube,,,,,,,,,
,,,,,,,,,
Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($),Current per person ($),Constant per person ($)
2017-18,NSW,Other services,Patient transport services,Non-government,Other sources of fund,"9,12,02,594","10,34,07,389",12,13
2017-18,NSW,Other services,Patient transport services,State and local government,State and local government,"74,50,58,434","84,47,62,670",94,107
2017-18,NSW,Primary health care,All other medications,Australian Government,DoHAC and other,"21,89,93,160","23,69,03,463",28,30
2017-18,NSW,Primary health care,All other medications,Australian Government,Premium rebates,"58,87,755","63,23,256",1,1
2017-18,NSW,Primary health care,All other medications,Non-government,Health Insurance Funds,"1,66,40,371","1,78,71,215",2,2
2017-18,NSW,Primary health care,All other medications,Non-government,Individuals,"3,45,41,06,637","3,77,61,66,276",437,478
2017-18,NSW,Primary health care,All other medications,Non-government,Other sources of fund,"2,52,17,569","2,70,82,845",3,3
2017-18,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"10,20,41,131","12,40,10,727",13,16
2017-18,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"3,29,92,29,578","3,99,79,29,344",418,506
2017-18,NSW,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"47,75,18,393","58,03,28,760",60,73
2017-18,NSW,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"1,52,647","1,72,413",0,0
2017-18,NSW,Primary health care,Community health and other,Australian Government,DoHAC and other,"29,13,27,988","32,88,96,192",37,42
2017-18,NSW,Primary health care,Community health and other,Australian Government,Premium rebates,"67,304","76,020",0,0
2017-18,NSW,Primary health care,Community health and other,Non-government,Health Insurance Funds,"1,90,220","2,14,852",0,0
2017-18,NSW,Primary health care,Community health and other,Non-government,Individuals,"6,09,17,152","6,88,05,300",8,9
2017-18,NSW,Primary health care,Community health and other,Non-government,Other sources of fund,"22,99,85,564","25,97,66,343",29,33
2017-18,NSW,Primary health care,Community health and other,State and local government,State and local government,"1,92,83,36,667","2,17,80,36,550",244,276
2017-18,NSW,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"2,10,64,067","2,30,31,386",3,3
2017-18,NSW,Primary health care,Dental services,Australian Government,DoHAC and other,"21,83,29,223","23,87,20,508",28,30
2017-18,NSW,Primary health care,Dental services,Australian Government,Premium rebates,"22,10,18,994","24,16,61,484",28,31
2017-18,NSW,Primary health care,Dental services,Non-government,Health Insurance Funds,"62,46,58,837","68,30,00,039",79,86
2017-18,NSW,Primary health care,Dental services,Non-government,Individuals,"1,70,83,42,847","1,86,78,96,780",216,236
2017-18,NSW,Primary health care,Dental services,Non-government,Other sources of fund,"2,46,31,667","2,69,32,189",3,3
2017-18,NSW,Primary health care,Dental services,State and local government,State and local government,"25,14,88,470","27,49,76,715",32,35
2017-18,NSW,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"5,64,27,928","6,44,63,284",7,8
2017-18,NSW,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"53,38,69,901","60,98,93,164",68,77
2017-18,NSW,Primary health care,Other health practitioners,Australian Government,Premium rebates,"9,85,47,762","11,25,80,998",12,14
2017-18,NSW,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"27,85,22,354","31,81,84,036",35,40
2017-18,NSW,Primary health care,Other health practitioners,Non-government,Individuals,"67,29,69,889","76,88,01,039",85,97
2017-18,NSW,Primary health care,Other health practitioners,Non-government,Other sources of fund,"19,99,50,431","22,84,23,443",25,29
2017-18,NSW,Primary health care,Public health,Australian Government,DoHAC and other,"42,56,33,264","48,25,40,942",54,61
2017-18,NSW,Primary health care,Public health,Non-government,Other sources of fund,"15,32,83,695","17,37,96,225",19,22
2017-18,NSW,Primary health care,Public health,State and local government,State and local government,"38,65,66,265","43,82,96,831",49,55
2017-18,NSW,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"3,96,29,751","4,46,04,228",5,6
2017-18,NSW,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"3,08,86,45,175","3,47,63,30,028",391,440
2017-18,NSW,Primary health care,Unreferred medical services,Non-government,Individuals,"20,87,39,199","23,49,40,933",26,30
2017-18,NSW,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"46,46,68,862","52,29,95,855",59,66
2017-18,NSW,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"15,75,66,358","17,73,44,684",20,22
2017-18,NSW,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"3,86,98,94,767","4,35,56,58,597",490,551
2017-18,NSW,Referred medical services,Referred medical services,Australian Government,Premium rebates,"18,02,55,847","20,28,82,243",23,26
2017-18,NSW,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"50,94,51,273","57,33,99,524",64,73
2017-18,NSW,Referred medical services,Referred medical services,Non-government,Individuals,"1,25,33,62,633","1,41,06,89,452",159,179
2017-18,NSW,Research,Research,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,NSW,Research,Research,Australian Government,DoHAC and other,"1,35,07,56,176","1,52,56,65,290",171,193
2017-18,NSW,Research,Research,Non-government,Individuals,"6,25,072","7,06,012",0,0
2017-18,NSW,Research,Research,Non-government,Other sources of fund,"16,02,48,210","18,09,98,715",20,23
2017-18,NSW,Research,Research,State and local government,State and local government,"12,54,84,396","14,17,33,342",16,18
2017-18,NT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"29,38,296","31,28,195",12,13
2017-18,NT,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"2,14,19,882","2,58,92,010",87,105
2017-18,NT,Capital expenditure,Capital expenditure,State and local government,State and local government,"4,10,00,000","4,82,13,113",166,195
2017-18,NT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"18,71,921","21,32,650",8,9
2017-18,NT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"72,49,702","82,59,102",29,33
2017-18,NT,Hospitals,Private hospitals,Australian Government,Premium rebates,"1,37,13,517","1,56,23,596",56,63
2017-18,NT,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"3,87,67,782","4,41,67,528",157,179
2017-18,NT,Hospitals,Private hospitals,Non-government,Individuals,"2,94,35,632","3,35,35,555",119,136
2017-18,NT,Hospitals,Private hospitals,Non-government,Other sources of fund,"1,03,92,178","1,18,39,646",42,48
2017-18,NT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,NT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"29,57,10,593","33,68,89,373","1,198","1,365"
2017-18,NT,Hospitals,Public hospital services,Australian Government,Premium rebates,"24,02,452","27,37,076",10,11
2017-18,NT,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"67,91,675","77,37,649",28,31
2017-18,NT,Hospitals,Public hospital services,Non-government,Individuals,"17,51,401","19,95,344",7,8
2017-18,NT,Hospitals,Public hospital services,Non-government,Other sources of fund,"3,03,40,247","3,45,66,170",123,140
2017-18,NT,Hospitals,Public hospital services,State and local government,State and local government,"51,33,10,357","58,48,06,470","2,079","2,369"
2017-18,NT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"52,800","59,681",0,0
2017-18,NT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-52,800","-59,681",0,0
2017-18,NT,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,NT,Other services,Administration,Australian Government,DoHAC and other,"2,47,85,860","2,79,99,569",100,113
2017-18,NT,Other services,Administration,Australian Government,Premium rebates,"29,79,546","33,67,837",12,14
2017-18,NT,Other services,Administration,Non-government,Health Insurance Funds,"84,20,995","95,18,410",34,39
2017-18,NT,Other services,Administration,Non-government,Individuals,"-1,58,667","-1,79,345",-1,-1
2017-18,NT,Other services,Administration,Non-government,Other sources of fund,"14,51,660","16,40,838",6,7
2017-18,NT,Other services,Administration,State and local government,State and local government,"11,43,94,627","12,93,02,407",463,524
2017-18,NT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,NT,Other services,Aids and appliances,Australian Government,DoHAC and other,"49,03,798","53,69,117",20,22
2017-18,NT,Other services,Aids and appliances,Australian Government,Premium rebates,"20,14,300","22,05,436",8,9
2017-18,NT,Other services,Aids and appliances,Non-government,Health Insurance Funds,"56,92,952","62,33,153",23,25
2017-18,NT,Other services,Aids and appliances,Non-government,Individuals,"1,70,01,046","1,86,14,267",69,75
2017-18,NT,Other services,Aids and appliances,Non-government,Other sources of fund,"24,09,975","26,38,656",10,11
2017-18,NT,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,NT,Other services,Patient transport services,Australian Government,DoHAC and other,"1,26,55,651","1,44,18,386",51,58
2017-18,NT,Other services,Patient transport services,Australian Government,Premium rebates,"3,23,405","3,68,451",1,1
2017-18,NT,Other services,Patient transport services,Non-government,Health Insurance Funds,"9,14,031","10,41,341",4,4
2017-18,NT,Other services,Patient transport services,Non-government,Individuals,"2,39,414","2,72,761",1,1
2017-18,NT,Other services,Patient transport services,Non-government,Other sources of fund,"46,66,545","53,16,521",19,22
2017-18,NT,Other services,Patient transport services,State and local government,State and local government,"10,67,90,945","12,16,65,255",433,493
2017-18,NT,Primary health care,All other medications,Australian Government,DoHAC and other,"86,56,717","93,28,849",35,38
2017-18,NT,Primary health care,All other medications,Australian Government,Premium rebates,"98,347","1,06,279",0,0
2017-18,NT,Primary health care,All other medications,Non-government,Health Insurance Funds,"2,77,955","3,00,374",1,1
2017-18,NT,Primary health care,All other medications,Non-government,Individuals,"4,94,40,535","5,47,77,853",200,222
2017-18,NT,Primary health care,All other medications,Non-government,Other sources of fund,"2,67,895","2,89,503",1,1
2017-18,NT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"8,66,387","10,52,921",4,4
2017-18,NT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"5,69,92,153","6,92,54,144",231,281
2017-18,NT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"63,18,878","76,79,341",26,31
2017-18,NT,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,NT,Primary health care,Community health and other,Australian Government,DoHAC and other,"13,68,73,177","15,47,19,900",554,627
2017-18,NT,Primary health care,Community health and other,Australian Government,Premium rebates,"1,512","1,709",0,0
2017-18,NT,Primary health care,Community health and other,Non-government,Health Insurance Funds,"4,272","4,829",0,0
2017-18,NT,Primary health care,Community health and other,Non-government,Individuals,"2,10,219","2,37,614",1,1
2017-18,NT,Primary health care,Community health and other,Non-government,Other sources of fund,"72,84,952","82,34,319",30,33
2017-18,NT,Primary health care,Community health and other,State and local government,State and local government,"33,95,28,677","38,37,75,676","1,375","1,555"
2017-18,NT,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"3,31,473","3,62,432",1,1
2017-18,NT,Primary health care,Dental services,Australian Government,DoHAC and other,"20,61,394","22,53,922",8,9
2017-18,NT,Primary health care,Dental services,Australian Government,Premium rebates,"51,49,235","56,30,158",21,23
2017-18,NT,Primary health care,Dental services,Non-government,Health Insurance Funds,"1,45,53,117","1,59,12,333",59,64
2017-18,NT,Primary health care,Dental services,Non-government,Individuals,"8,27,44,378","9,04,72,447",335,366
2017-18,NT,Primary health care,Dental services,Non-government,Other sources of fund,"5,35,153","5,85,134",2,2
2017-18,NT,Primary health care,Dental services,State and local government,State and local government,"1,59,67,641","1,74,58,969",65,71
2017-18,NT,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"5,66,557","6,47,235",2,3
2017-18,NT,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"71,78,532","82,00,758",29,33
2017-18,NT,Primary health care,Other health practitioners,Australian Government,Premium rebates,"21,15,162","24,16,362",9,10
2017-18,NT,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"59,78,014","68,29,285",24,28
2017-18,NT,Primary health care,Other health practitioners,Non-government,Individuals,"3,60,85,527","4,12,24,119",146,167
2017-18,NT,Primary health care,Other health practitioners,Non-government,Other sources of fund,"82,06,635","93,75,263",33,38
2017-18,NT,Primary health care,Other health practitioners,State and local government,State and local government,"10,35,179","11,82,589",4,5
2017-18,NT,Primary health care,Public health,Australian Government,DoHAC and other,"2,93,02,923","3,33,79,462",119,135
2017-18,NT,Primary health care,Public health,Non-government,Individuals,"25,021","28,506",0,0
2017-18,NT,Primary health care,Public health,Non-government,Other sources of fund,"9,88,806","11,26,531",4,5
2017-18,NT,Primary health care,Public health,State and local government,State and local government,"8,64,44,290","9,84,84,630",350,399
2017-18,NT,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"4,46,639","5,08,334",2,2
2017-18,NT,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"29,07,75,629","33,09,34,199","1,178","1,341"
2017-18,NT,Primary health care,Unreferred medical services,Non-government,Individuals,"54,87,527","62,45,526",22,25
2017-18,NT,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"1,51,25,187","1,72,14,449",61,70
2017-18,NT,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"24,14,659","27,48,199",10,11
2017-18,NT,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"6,42,94,506","7,31,75,590",260,296
2017-18,NT,Referred medical services,Referred medical services,Australian Government,Premium rebates,"27,06,532","30,80,389",11,12
2017-18,NT,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"76,49,384","87,06,003",31,35
2017-18,NT,Referred medical services,Referred medical services,Non-government,Individuals,"1,30,79,505","1,48,86,194",53,60
2017-18,NT,Research,Research,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,NT,Research,Research,Australian Government,DoHAC and other,"1,98,48,240","2,24,34,841",80,91
2017-18,NT,Research,Research,Non-government,Individuals,-40,-45,0,0
2017-18,NT,Research,Research,Non-government,Other sources of fund,"10,69,834","12,09,253",4,5
2017-18,NT,Research,Research,State and local government,State and local government,"68,77,533","77,73,805",28,31
2017-18,Qld,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"1,79,82,370","1,99,77,066",4,4
2017-18,Qld,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"1,59,96,13,229","2,00,41,10,324",322,404
2017-18,Qld,Capital expenditure,Capital expenditure,State and local government,State and local government,"64,60,00,000","76,88,66,384",130,155
2017-18,Qld,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"26,65,38,777","30,38,45,613",54,61
2017-18,Qld,Hospitals,Private hospitals,Australian Government,DoHAC and other,"69,70,89,544","79,46,56,719",141,160
2017-18,Qld,Hospitals,Private hospitals,Australian Government,Premium rebates,"63,60,88,450","72,51,20,328",128,146
2017-18,Qld,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"1,79,82,06,730","2,04,98,97,708",362,413
2017-18,Qld,Hospitals,Private hospitals,Non-government,Individuals,"65,17,93,881","74,30,24,014",131,150
2017-18,Qld,Hospitals,Private hospitals,Non-government,Other sources of fund,"25,48,95,161","29,05,72,267",51,59
2017-18,Qld,Hospitals,Private hospitals,State and local government,State and local government,"8,47,37,000","9,65,97,449",17,19
2017-18,Qld,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"9,11,58,827","10,39,18,124",18,21
2017-18,Qld,Hospitals,Public hospital services,Australian Government,DoHAC and other,"4,82,86,23,755","5,50,44,04,375",973,"1,110"
2017-18,Qld,Hospitals,Public hospital services,Australian Government,Premium rebates,"4,35,60,956","4,96,58,086",9,10
2017-18,Qld,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"12,31,45,774","14,03,82,212",25,28
2017-18,Qld,Hospitals,Public hospital services,Non-government,Individuals,"33,61,31,772","38,31,79,385",68,77
2017-18,Qld,Hospitals,Public hospital services,Non-government,Other sources of fund,"55,06,44,114","62,77,16,540",111,127
2017-18,Qld,Hospitals,Public hospital services,State and local government,State and local government,"5,56,99,37,536","6,34,95,49,246","1,123","1,280"
2017-18,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"22,02,000","25,06,150",0,1
2017-18,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-22,02,000","-25,06,150",0,-1
2017-18,Qld,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,Qld,Other services,Administration,Australian Government,DoHAC and other,"36,24,32,075","41,23,48,682",73,83
2017-18,Qld,Other services,Administration,Australian Government,Premium rebates,"11,29,57,368","12,85,59,517",23,26
2017-18,Qld,Other services,Administration,Non-government,Health Insurance Funds,"31,92,47,757","36,33,43,606",64,73
2017-18,Qld,Other services,Administration,State and local government,State and local government,"27,44,42,297","31,23,49,426",55,63
2017-18,Qld,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"4,73,313","5,18,226",0,0
2017-18,Qld,Other services,Aids and appliances,Australian Government,DoHAC and other,"12,44,49,018","13,62,57,926",25,27
2017-18,Qld,Other services,Aids and appliances,Australian Government,Premium rebates,"5,25,64,155","5,75,51,943",11,12
2017-18,Qld,Other services,Aids and appliances,Non-government,Health Insurance Funds,"14,85,60,372","16,26,57,196",30,33
2017-18,Qld,Other services,Aids and appliances,Non-government,Individuals,"56,86,17,672","62,25,73,535",115,125
2017-18,Qld,Other services,Aids and appliances,Non-government,Other sources of fund,"1,24,28,503","1,36,07,837",3,3
2017-18,Qld,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"2,81,18,752","3,20,54,471",6,6
2017-18,Qld,Other services,Patient transport services,Australian Government,DoHAC and other,"1,71,08,557","1,95,03,204",3,4
2017-18,Qld,Other services,Patient transport services,Australian Government,Premium rebates,"1,37,686","1,56,957",0,0
2017-18,Qld,Other services,Patient transport services,Non-government,Health Insurance Funds,"3,89,137","4,43,603",0,0
2017-18,Qld,Other services,Patient transport services,Non-government,Other sources of fund,"14,52,379","16,55,665",0,0
2017-18,Qld,Other services,Patient transport services,State and local government,State and local government,"94,70,41,019","1,07,95,96,234",191,218
2017-18,Qld,Primary health care,All other medications,Australian Government,DoHAC and other,"13,66,74,903","14,97,28,897",28,30
2017-18,Qld,Primary health care,All other medications,Australian Government,Premium rebates,"33,83,201","36,93,639",1,1
2017-18,Qld,Primary health care,All other medications,Non-government,Health Insurance Funds,"95,61,833","1,04,39,213",2,2
2017-18,Qld,Primary health care,All other medications,Non-government,Individuals,"1,99,90,51,119","2,21,93,01,742",403,447
2017-18,Qld,Primary health care,All other medications,Non-government,Other sources of fund,"1,36,21,107","1,48,70,961",3,3
2017-18,Qld,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"9,17,72,841","11,15,31,660",18,22
2017-18,Qld,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"1,84,53,28,882","2,23,77,97,739",372,451
2017-18,Qld,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"29,08,89,578","35,35,18,505",59,71
2017-18,Qld,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"54,751","62,313",0,0
2017-18,Qld,Primary health care,Community health and other,Australian Government,DoHAC and other,"24,42,79,234","27,79,56,746",49,56
2017-18,Qld,Primary health care,Community health and other,Australian Government,Premium rebates,"30,362","34,555",0,0
2017-18,Qld,Primary health care,Community health and other,Non-government,Health Insurance Funds,"85,810","97,663",0,0
2017-18,Qld,Primary health care,Community health and other,Non-government,Individuals,"2,43,96,000","2,77,65,679",5,6
2017-18,Qld,Primary health care,Community health and other,Non-government,Other sources of fund,"2,48,80,701","2,83,17,329",5,6
2017-18,Qld,Primary health care,Community health and other,State and local government,State and local government,"2,77,99,01,068","3,16,38,72,751",560,638
2017-18,Qld,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"2,88,17,074","3,15,08,499",6,6
2017-18,Qld,Primary health care,Dental services,Australian Government,DoHAC and other,"5,27,85,892","5,77,15,934",11,12
2017-18,Qld,Primary health care,Dental services,Australian Government,Premium rebates,"14,43,71,063","15,78,54,873",29,32
2017-18,Qld,Primary health care,Dental services,Non-government,Health Insurance Funds,"40,80,31,267","44,61,40,124",82,90
2017-18,Qld,Primary health care,Dental services,Non-government,Individuals,"62,70,76,500","68,56,43,503",126,138
2017-18,Qld,Primary health care,Dental services,Non-government,Other sources of fund,"98,11,189","1,07,27,524",2,2
2017-18,Qld,Primary health care,Dental services,State and local government,State and local government,"22,58,53,977","24,69,48,039",46,50
2017-18,Qld,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"8,34,11,993","9,52,89,890",17,19
2017-18,Qld,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"34,96,01,348","39,93,84,704",70,81
2017-18,Qld,Primary health care,Other health practitioners,Australian Government,Premium rebates,"6,19,91,576","7,08,19,199",12,14
2017-18,Qld,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"17,52,04,787","20,01,54,011",35,40
2017-18,Qld,Primary health care,Other health practitioners,Non-government,Individuals,"53,43,00,336","61,03,84,893",108,123
2017-18,Qld,Primary health care,Other health practitioners,Non-government,Other sources of fund,"8,32,09,497","9,50,58,559",17,19
2017-18,Qld,Primary health care,Public health,Australian Government,DoHAC and other,"26,35,99,440","30,04,79,530",53,61
2017-18,Qld,Primary health care,Public health,Non-government,Individuals,"2,04,61,000","2,33,24,880",4,5
2017-18,Qld,Primary health care,Public health,State and local government,State and local government,"18,74,05,828","21,36,36,603",38,43
2017-18,Qld,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"4,16,73,499","4,73,22,307",8,10
2017-18,Qld,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"2,10,49,32,657","2,39,02,29,933",424,482
2017-18,Qld,Primary health care,Unreferred medical services,Non-government,Individuals,"16,92,53,950","19,21,96,180",34,39
2017-18,Qld,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"17,17,01,293","19,49,75,259",35,39
2017-18,Qld,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"23,67,17,132","26,88,03,940",48,54
2017-18,Qld,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"2,20,62,12,063","2,50,52,62,249",445,505
2017-18,Qld,Referred medical services,Referred medical services,Australian Government,Premium rebates,"12,33,96,777","14,01,23,107",25,28
2017-18,Qld,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"34,87,52,323","39,60,25,406",70,80
2017-18,Qld,Referred medical services,Referred medical services,Non-government,Individuals,"60,78,93,427","69,02,92,869",123,139
2017-18,Qld,Research,Research,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,Qld,Research,Research,Australian Government,DoHAC and other,"86,01,43,298","97,89,49,926",173,197
2017-18,Qld,Research,Research,Non-government,Other sources of fund,"7,49,86,686","8,53,44,164",15,17
2017-18,Qld,Research,Research,State and local government,State and local government,"23,46,50,923","26,70,61,900",47,54
2017-18,SA,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"1,05,77,865","1,13,07,147",6,7
2017-18,SA,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"26,27,91,198","31,94,36,993",151,184
2017-18,SA,Capital expenditure,Capital expenditure,State and local government,State and local government,"22,30,00,000","26,81,34,473",128,154
2017-18,SA,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"3,78,13,948","4,32,61,217",22,25
2017-18,SA,Hospitals,Private hospitals,Australian Government,DoHAC and other,"23,60,02,357","26,99,96,956",136,156
2017-18,SA,Hospitals,Private hospitals,Australian Government,Premium rebates,"20,49,71,199","23,44,98,222",118,135
2017-18,SA,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"57,94,48,643","66,29,20,827",334,382
2017-18,SA,Hospitals,Private hospitals,Non-government,Individuals,"13,72,33,840","15,70,02,992",79,90
2017-18,SA,Hospitals,Private hospitals,Non-government,Other sources of fund,"5,44,08,591","6,22,46,393",31,36
2017-18,SA,Hospitals,Private hospitals,State and local government,State and local government,"2,17,16,745","2,48,45,140",13,14
2017-18,SA,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"4,56,66,703","5,22,45,197",26,30
2017-18,SA,Hospitals,Public hospital services,Australian Government,DoHAC and other,"1,46,73,48,685","1,67,86,62,875",845,967
2017-18,SA,Hospitals,Public hospital services,Australian Government,Premium rebates,"2,10,45,107","2,40,76,749",12,14
2017-18,SA,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"5,94,94,011","6,80,64,390",34,39
2017-18,SA,Hospitals,Public hospital services,Non-government,Individuals,"4,23,64,816","4,84,67,658",24,28
2017-18,SA,Hospitals,Public hospital services,Non-government,Other sources of fund,"13,61,64,187","15,57,79,251",78,90
2017-18,SA,Hospitals,Public hospital services,State and local government,State and local government,"2,98,14,51,841","3,41,09,43,393","1,718","1,965"
2017-18,SA,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"5,59,200","6,38,545",0,0
2017-18,SA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-5,59,200","-6,38,545",0,0
2017-18,SA,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,SA,Other services,Administration,Australian Government,DoHAC and other,"12,61,25,025","14,38,82,374",73,83
2017-18,SA,Other services,Administration,Australian Government,Premium rebates,"4,24,59,792","4,84,84,438",24,28
2017-18,SA,Other services,Administration,Non-government,Health Insurance Funds,"12,00,02,736","13,70,30,000",69,79
2017-18,SA,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"1,45,255","1,59,038",0,0
2017-18,SA,Other services,Aids and appliances,Australian Government,DoHAC and other,"4,68,61,147","5,13,07,780",27,30
2017-18,SA,Other services,Aids and appliances,Australian Government,Premium rebates,"2,14,51,694","2,34,87,236",12,14
2017-18,SA,Other services,Aids and appliances,Non-government,Health Insurance Funds,"6,06,28,231","6,63,81,215",35,38
2017-18,SA,Other services,Aids and appliances,Non-government,Individuals,"18,00,51,788","19,71,36,817",104,114
2017-18,SA,Other services,Aids and appliances,Non-government,Other sources of fund,"2,15,90,349","2,36,39,047",12,14
2017-18,SA,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"93,59,550","1,07,07,836",5,6
2017-18,SA,Other services,Patient transport services,Australian Government,DoHAC and other,"75,43,429","86,30,094",4,5
2017-18,SA,Other services,Patient transport services,Australian Government,Premium rebates,"97,75,392","1,11,83,581",6,6
2017-18,SA,Other services,Patient transport services,Non-government,Health Insurance Funds,"2,76,27,873","3,16,07,793",16,18
2017-18,SA,Other services,Patient transport services,Non-government,Individuals,"9,51,42,610","10,88,48,331",55,63
2017-18,SA,Other services,Patient transport services,Non-government,Other sources of fund,"1,34,70,747","1,54,11,269",8,9
2017-18,SA,Other services,Patient transport services,State and local government,State and local government,"21,75,01,670","24,88,33,764",125,143
2017-18,SA,Primary health care,All other medications,Australian Government,DoHAC and other,"5,04,56,564","5,35,42,086",29,31
2017-18,SA,Primary health care,All other medications,Australian Government,Premium rebates,"18,09,432","19,16,318",1,1
2017-18,SA,Primary health care,All other medications,Non-government,Health Insurance Funds,"51,13,939","54,16,027",3,3
2017-18,SA,Primary health care,All other medications,Non-government,Individuals,"76,20,99,953","82,37,48,787",439,475
2017-18,SA,Primary health care,All other medications,Non-government,Other sources of fund,"35,73,596","37,84,694",2,2
2017-18,SA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"2,21,41,000","2,69,07,988",13,16
2017-18,SA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"72,03,97,547","87,39,23,491",415,504
