eProcedures_03,ProcedureCodeDescr
701978009,"Cardiopulmonary resuscitation feedback device, electronic"
702080003,"Ambulance stretcher, electrohydraulic"
702082006,Ambulance stretcher docking device
702115003,IV line/syringe Luer connector
702216005,Endothermic cold therapy pack
702430003,Computed tomography angiography of head and neck with contrast
703427001,Refusal of treatment by patient against dental advice
703985001,Chest thrust
704130006,Shockable heart rhythm detected by automated external defibrillator
704341004,Conflicting attitude towards medication management
704718009,CPAP/BPAP oral mask
704932002,Contamination barrier sock
704991006,Anchoring of endotracheal tube
705027007,Assessment using stroke impact scale version 3.0
705184004,Hot/Cold therapy pack
705185003,Cold compression therapy wrap
70549008,Insertion of catheter for central venous pressure monitoring
705541005,Rectal catheter
705591009,Transporter
705681006,Burn dressing
705688000,Gauze dressing
705706008,Scoop
705937000,Public access defibrillator
705938005,Defibrillator electrode
705940000,External defibrillator electrode
706013009,Intubation laryngoscope
706093005,Emergency suction system
706126006,Heating/cooling pad system
706172005,Ventilator
706173000,Intensive-care ventilator
706175007,Ventilator breathing circuit
706208003,Laryngeal airway
706226000,Continuous positive airway pressure/Bilevel positive airway pressure mask
706240004,Patient positioning system
706521006,Cover
707076002,Epistaxis care
707739007,Ambulating with assistance of one person
707741008,Ambulating with assistance of team of people
707765006,On ventilator
707794004,Immobilization using extrication splint
707799009,Non-shockable heart rhythm detected by automated external defibrillator
708010003,Intraosseous access care management
708172000,Cardiac ultrasound service
708409001,Home nebulizer therapy
70862002,Contact person
70901006,Creatinine measurement
710059009,Management of withdrawal symptom
710107001,Maintenance of wound drain
710352006,Extrication procedure
710354007,Rapid extrication
710574004,Demonstrating medication administration
710802005,Assisting health care provider
710803000,Assistance with mobility
710824005,Assessment of health and social care needs
710839006,Assessment of cardiac status using monitoring device
710925007,Provision of food
710960001,Moving patient using transfer technique
710961002,Use of supportive positioning
710971000,Maintaining clear airway
711008001,Assessment of substance withdrawal
711036006,Moving patient using transfer technique with lifting apparatus
711037002,Use of de-escalation technique
711133000,Administration of fluid therapy
711139001,Evaluation of tubes and drains
711176003,Provision of orthopedic stretcher
711232001,Computed tomography of head with contrast
711300004,MRI-patient physiologic monitoring system
711410007,Signs of return of spontaneous circulation
712003,Closed chest suction
712991000,Management of safety
713108007,Provide status report to multidisciplinary team
713133005,Assessment following possible exposure to contagion
713134004,Assessment of peripheral neurovascular function
713147009,Application of hemostatic agent
713246009,Procedure discontinued by healthcare professional
713400007,Referral to medical rapid response team
713442009,Referral to cardiac rapid response team
713535007,Supraglottic airway
71388002,Procedure
714072003,Hot/cold therapy pack/compression therapy system
714351009,Assessment using Young Child Outcome Rating Scale
714700001,Bilevel positive airway pressure unit hand held
714713007,Abdominal and/or thoracic port and catheter
714740007,Laryngeal mask airway with posterior cuff and drainage lumen
71493000,Transfusion of packed red blood cells
715537001,Transportation by ambulance
715540001,Transportation by helicopter air ambulance
715541002,Transportation by fixed wing air ambulance
715542009,Transportation by emergency ambulance
715740004,Product containing naloxone in nasal dose form
715933006,Provision of medical patient escort
716333005,Blue-light phototherapy lamp
716428005,Able to move in cot
716731005,Provision of bariatric transport
716733008,Provision of ambulance with stretcher facility
716734002,Provision of helicopter air ambulance
716754001,Arterial catheter care management
716777001,Hemodynamic monitoring
716800008,Face Arm Speech Test score
71707006,Critical judgement
717142004,"Cardiac resuscitator, battery-powered"
717278002,Burn care management
717295005,First aid limb splint
717309008,"Cardiopulmonary resuscitation impedance valve, inspiratory/expiratory"
71786000,Intranasal oxygen therapy
718021000,Education about take home naloxone for opiate overdose intervention
718864008,Assessment using Lower Extremity Functional Scale
719410009,Consultation via video conference
719705009,Capnography oxygen mask
72027000,Radial pulse taking
720649006,Introduction of urinary catheter
720849008,Education about cerebrovascular accident
722440006,Management of central venous catheter
723429008,External hemorrhage clamp
723438005,Left cardiac ventricle to aorta assist device in situ
7241007,"Application of dressing, major"
72641008,Administration of sedative
726649002,"Oxygen/air breathing gas mixer, emergency"
72705000,Mother
73027007,"Infant incubator, device"
73368009,Foley catheter
733696008,Capnography sampling adaptor
733864003,Assessment of fine motor function
733919004,Assessment of body movement
733925000,Application of ointment
734227007,Specimen decontamination
734944000,Video intubation laryngoscope handle/monitor
735346000,Control of hemorrhage by application of direct pressure
736158002,Insertion of gastrostomy tube
736165005,Nasogastric tube care management
736186005,Ability to self-administer medication
736762004,Provision of personal protective equipment
736766001,Control and restraint management
73957001,"Air transport ambulance, device"
74094004,"Belt, device"
741679001,American Heart Association advanced cardiac life support protocol
74188005,Medical
74300007,"Sanitary pad, device"
7443007,Insertion of oropharyngeal airway
74500006,Cardiac enzymes/isoenzymes measurement
74596007,Resuscitation with artificial ventilation
74691006,Pacing up and down
74964007,Other
74996004,Confirmation of (contextual qualifier)
75192006,"Arterial cannula, device"
75313008,Orthotic splinting
75367002,Blood pressure
7606004,"Methemoglobin measurement, qualitative"
762226007,Urinary retention care management
762238003,Attention to nasogastric tube
763700006,Assessment using Clinical Opiate Withdrawal Scale
763781008,Adult health examination declined
76388001,ST segment elevation
765054000,External cardiac electrode
765172009,Doppler ultrasound
76571007,Septic shock
76601001,Intramuscular injection
767002,White blood cell count
767693007,Pelvic binder
76879002,Operation on spinal cord
769351005,Cold water
771554000,Monitoring of intravenous infusion
771555004,Monitoring of continuous bladder irrigation
77248004,Infection control procedure
77370004,Lactic acid
77406008,Confirmatory medical consultation
77477000,Computed tomography
77671006,Vasopressin
77938009,"Arterial pressure monitoring, invasive method"
78086002,Holding patient
78121007,Direct laryngoscopy
78421000,Intramuscular route
78533007,Irrigation of urinary bladder
78534001,Body fluid replacement
785905003,Cannula cricothyroidotomy
78766008,Insertion of nasogastric tube for intestinal decompression
7922000,General treatment
79321009,Application of splint
79467005,Removal of nasal pack
79724003,Administration of antivenom
79821001,Maintenance of cervical collar
80051000119107,Stroke care management
80402001,Insertion of implantable venous access port
80617005,"Analyzer, device"
80970002,"Medical evaluation, quality of care, review of exception case"
81011003,Nasogastric tube removal
81295004,"Phonocardiogram with electrocardiogram lead, interpretation and report"
81375008,Physical assessment
81533008,Sling maintenance
82078001,Collection of blood specimen for laboratory
82449006,"Peripheral intravenous catheter, device"
82879008,"Safety belt, device"
83059008,"Tube, device"
83418008,Entire fetus
83729008,Vitamin D measurement
83887000,"Rescue vehicle, device"
8390008,Routine care of newborn
83905007,No treatment required for (contextual qualifier)
84252002,Obstetrical
84728005,Neurological examination
84856008,Oropharyngeal suctioning
8499008,"Pulse, function"
85403009,"Delivery, medical personnel present"
85624009,Closed reduction of dislocation of shoulder
8594000,Operation of Ambu resuscitator
86184003,"Electrocardiographic monitor and recorder, device"
86198006,Administration of vaccine product containing only Influenza virus antigen
86265008,Central venous pressure monitoring
86453006,"Defibrillator paddle, device"
86508006,High humidity
866145009,General patient record note
866146005,Serum metabolic panel
86768006,"Balloon pump, device"
868184008,Telemedicine consultation with provider
870380006,Lung ultrasound surface wave elastography
870384002,Point of care diagnostic ultrasonography
870386000,Vasopressor therapy
870441004,Screening for sepsis
870533002,Heated and humidified high flow oxygen therapy
870581009,Video intubation endotracheal tube
87515005,Ileostomy management and care
87612001,Blood
87710003,"Physical restraint structure, device"
87750000,Insertion of nasogastric tube
879788006,Channeled video intubation laryngoscope
88140007,Cardiac monitor surveillance
88480006,Potassium
88532006,Cold water bath hydrotherapy
88628008,Ultrasonography of lung
88645003,Bicarbonate measurement
89003005,Oral temperature taking
89018006,Product containing naloxone
89149003,"Stretcher, device"
89187006,Airway structure
89666000,Cardiopulmonary resuscitation
89925002,Canceled
901005,Helicopter-based care
9049009,Insertion of needle into artery of extremity
90660004,Application of dressing for burn
90964006,Removal of cervical collar
91161007,Pedal pulse taking
91302008,Sepsis
91602002,Thoracentesis
9263008,Application of elastic bandage
9421007,Bougienage
9564003,"Complete blood count with white cell differential, automated"
9704004,Computed tomography limited studies
972002,"Air filter, device"
