eInjury_01,DiagnosisCodeDescr
V59.50,Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident
V59.59,Passenger in pick-up truck or van injured in collision with other motor vehicles in traffic accident
V59.6,Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in traffic accident
V59.60,Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident
V59.69,Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in traffic accident
V59.8,Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents
V59.81,Occupant (driver) (passenger) of pick-up truck or van injured in transport accident with military vehicle
V59.88,Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents
V59.9,Occupant (driver) (passenger) of pick-up truck or van injured in unspecified traffic accident
V60.1,Passenger in heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident
V60.2,Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident
V60.9,Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident
V62.0,Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V63.0,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V63.1,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V63.3,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V63.5,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V63.6,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V63.7,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V64,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus
V64.0,Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
V64.1,Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
V64.4,Person boarding or alighting a heavy transport vehicle injured in collision with heavy transport vehicle or bus while boarding or alighting
V64.5,Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V64.6,Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V64.9,Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V65.0,Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident
V65.5,Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident
V65.6,Passenger in heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident
V66.0,Driver of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V66.1,Passenger in heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V66.2,Person on outside of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V66.3,Unspecified occupant of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V66.5,Driver of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident
V66.6,Passenger in heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident
V67,Occupant of heavy transport vehicle injured in collision with fixed or stationary object
V67.0,Driver of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident
V67.1,Passenger in heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident
V67.3,Unspecified occupant of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident
V67.5,Driver of heavy transport vehicle injured in collision with fixed or stationary object in traffic accident
V67.6,Passenger in heavy transport vehicle injured in collision with fixed or stationary object in traffic accident
V68.0,Driver of heavy transport vehicle injured in noncollision transport accident in nontraffic accident
V68.1,Passenger in heavy transport vehicle injured in noncollision transport accident in nontraffic accident
V68.2,Person on outside of heavy transport vehicle injured in noncollision transport accident in nontraffic accident
V68.3,Unspecified occupant of heavy transport vehicle injured in noncollision transport accident in nontraffic accident
V68.5,Driver of heavy transport vehicle injured in noncollision transport accident in traffic accident
V68.6,Passenger in heavy transport vehicle injured in noncollision transport accident in traffic accident
V68.7,Person on outside of heavy transport vehicle injured in noncollision transport accident in traffic accident
V68.9,Unspecified occupant of heavy transport vehicle injured in noncollision transport accident in traffic accident
V69,Occupant of heavy transport vehicle injured in other and unspecified transport accidents
V69.0,Driver of heavy transport vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
V69.00,Driver of heavy transport vehicle injured in collision with unspecified motor vehicles in nontraffic accident
V69.09,Driver of heavy transport vehicle injured in collision with other motor vehicles in nontraffic accident
V69.1,Passenger in heavy transport vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
V69.3,Occupant (driver) (passenger) of heavy transport vehicle injured in unspecified nontraffic accident
V69.4,Driver of heavy transport vehicle injured in collision with other and unspecified motor vehicles in traffic accident
V69.40,Driver of heavy transport vehicle injured in collision with unspecified motor vehicles in traffic accident
V69.49,Driver of heavy transport vehicle injured in collision with other motor vehicles in traffic accident
V69.5,Passenger in heavy transport vehicle injured in collision with other and unspecified motor vehicles in traffic accident
V69.50,Passenger in heavy transport vehicle injured in collision with unspecified motor vehicles in traffic accident
V69.59,Passenger in heavy transport vehicle injured in collision with other motor vehicles in traffic accident
V69.60,Unspecified occupant of heavy transport vehicle injured in collision with unspecified motor vehicles in traffic accident
V69.8,Occupant (driver) (passenger) of heavy transport vehicle injured in other specified transport accidents
V69.81,Occupant (driver) (passenger) of heavy transport vehicle injured in transport accidents with military vehicle
V69.88,Occupant (driver) (passenger) of heavy transport vehicle injured in other specified transport accidents
V69.9,Occupant (driver) (passenger) of heavy transport vehicle injured in unspecified traffic accident
V70.0,Driver of bus injured in collision with pedestrian or animal in nontraffic accident
V70.5,Driver of bus injured in collision with pedestrian or animal in traffic accident
V70.9,Unspecified occupant of bus injured in collision with pedestrian or animal in traffic accident
V71.0,Driver of bus injured in collision with pedal cycle in nontraffic accident
V72.5,Driver of bus injured in collision with two- or three-wheeled motor vehicle in traffic accident
V73,"Bus occupant injured in collision with car, pick-up truck or van"
V73.0,"Driver of bus injured in collision with car, pick-up truck or van in nontraffic accident"
V73.5,"Driver of bus injured in collision with car, pick-up truck or van in traffic accident"
V73.6,"Passenger on bus injured in collision with car, pick-up truck or van in traffic accident"
V73.9,"Unspecified occupant of bus injured in collision with car, pick-up truck or van in traffic accident"
V74.0,Driver of bus injured in collision with heavy transport vehicle or bus in nontraffic accident
V74.5,Driver of bus injured in collision with heavy transport vehicle or bus in traffic accident
V74.6,Passenger on bus injured in collision with heavy transport vehicle or bus in traffic accident
V76.0,Driver of bus injured in collision with other nonmotor vehicle in nontraffic accident
V76.1,Passenger on bus injured in collision with other nonmotor vehicle in nontraffic accident
V76.2,Person on outside of bus injured in collision with other nonmotor vehicle in nontraffic accident
V76.6,Passenger on bus injured in collision with other nonmotor vehicle in traffic accident
V77.0,Driver of bus injured in collision with fixed or stationary object in nontraffic accident
V77.1,Passenger on bus injured in collision with fixed or stationary object in nontraffic accident
V77.4,Person boarding or alighting from bus injured in collision with fixed or stationary object
V77.5,Driver of bus injured in collision with fixed or stationary object in traffic accident
V77.6,Passenger on bus injured in collision with fixed or stationary object in traffic accident
V78.0,Driver of bus injured in noncollision transport accident in nontraffic accident
V78.1,Passenger on bus injured in noncollision transport accident in nontraffic accident
V78.3,Unspecified occupant of bus injured in noncollision transport accident in nontraffic accident
V78.6,Passenger on bus injured in noncollision transport accident in traffic accident
V79,Bus occupant injured in other and unspecified transport accidents
V79.0,Driver of bus injured in collision with other and unspecified motor vehicles in nontraffic accident
V79.00,Driver of bus injured in collision with unspecified motor vehicles in nontraffic accident
V79.1,Passenger on bus injured in collision with other and unspecified motor vehicles in nontraffic accident
V79.19,Passenger on bus injured in collision with other motor vehicles in nontraffic accident
V79.2,Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident
V79.20,Unspecified bus occupant injured in collision with unspecified motor vehicles in nontraffic accident
V79.3,Bus occupant (driver) (passenger) injured in unspecified nontraffic accident
V79.4,Driver of bus injured in collision with other and unspecified motor vehicles in traffic accident
V79.40,Driver of bus injured in collision with unspecified motor vehicles in traffic accident
V79.49,Driver of bus injured in collision with other motor vehicles in traffic accident
V79.5,Passenger on bus injured in collision with other and unspecified motor vehicles in traffic accident
V79.50,Passenger on bus injured in collision with unspecified motor vehicles in traffic accident
V79.59,Passenger on bus injured in collision with other motor vehicles in traffic accident
V79.6,Unspecified bus occupant injured in collision with other and unspecified motor vehicles in traffic accident
V79.60,Unspecified bus occupant injured in collision with unspecified motor vehicles in traffic accident
V79.69,Unspecified bus occupant injured in collision with other motor vehicles in traffic accident
V79.8,Bus occupant (driver) (passenger) injured in other specified transport accidents
V79.81,Bus occupant (driver) (passenger) injured in transport accidents with military vehicle
V79.88,Bus occupant (driver) (passenger) injured in other specified transport accidents
V79.9,Bus occupant (driver) (passenger) injured in unspecified traffic accident
V80.0,Animal-rider or occupant of animal drawn vehicle injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident
V80.01,Animal-rider injured by fall from or being thrown from animal in noncollision accident
V80.010,Animal-rider injured by fall from or being thrown from horse in noncollision accident
V80.010A,"Animal-rider injured by fall from or being thrown from horse in noncollision accident, initial encounter"
V80.018,Animal-rider injured by fall from or being thrown from other animal in noncollision accident
V80.018A,"Animal-rider injured by fall from or being thrown from other animal in noncollision accident, initial encounter"
V80.018D,"Animal-rider injured by fall from or being thrown from other animal in noncollision accident, subsequent encounter"
V80.02,Occupant of animal-drawn vehicle injured by fall from or being thrown from animal-drawn vehicle in noncollision accident
V80.11,Animal-rider injured in collision with pedestrian or animal
V80.21,Animal-rider injured in collision with pedal cycle
V80.22,Occupant of animal-drawn vehicle injured in collision with pedal cycle
V80.31,Animal-rider injured in collision with two- or three-wheeled motor vehicle
V80.4,"Animal-rider or occupant of animal-drawn vehicle injured in collision with car, pick-up truck, van, heavy transport vehicle or bus"
V80.41,"Animal-rider injured in collision with car, pick-up truck, van, heavy transport vehicle or bus"
V80.42,"Occupant of animal-drawn vehicle injured in collision with car, pick-up truck, van, heavy transport vehicle or bus"
V80.5,Animal-rider or occupant of animal-drawn vehicle injured in collision with other specified motor vehicle
V80.51,Animal-rider injured in collision with other specified motor vehicle
V80.52,Occupant of animal-drawn vehicle injured in collision with other specified motor vehicle
V80.6,Animal-rider or occupant of animal-drawn vehicle injured in collision with railway train or railway vehicle
V80.61,Animal-rider injured in collision with railway train or railway vehicle
V80.71,Animal-rider or occupant of animal-drawn vehicle injured in collision with animal being ridden
V80.710,Animal-rider injured in collision with other animal being ridden
V80.72,Animal-rider or occupant of animal-drawn vehicle injured in collision with other animal-drawn vehicle
V80.720,Animal-rider injured in collision with animal-drawn vehicle
V80.730,Animal-rider injured in collision with streetcar
V80.79,Animal-rider or occupant of animal-drawn vehicle injured in collision with other nonmotor vehicles
V80.790,Animal-rider injured in collision with other nonmotor vehicles
V80.8,Animal-rider or occupant of animal-drawn vehicle injured in collision with fixed or stationary object
V80.81,Animal-rider injured in collision with fixed or stationary object
V80.9,Animal-rider or occupant of animal-drawn vehicle injured in other and unspecified transport accidents
V80.91,Animal-rider injured in other and unspecified transport accidents
V80.918,Animal-rider injured in other transport accident
V80.919,Animal-rider injured in unspecified transport accident
V80.92,Occupant of animal-drawn vehicle injured in other and unspecified transport accidents
V80.928,Occupant of animal-drawn vehicle injured in other transport accident
V80.929A,"Occupant of animal-drawn vehicle injured in unspecified transport accident, initial encounter"
V81,Occupant of railway train or railway vehicle injured in transport accident
V81.1,Occupant of railway train or railway vehicle injured in collision with motor vehicle in traffic accident
V81.2,Occupant of railway train or railway vehicle injured in collision with or hit by rolling stock
V81.3,Occupant of railway train or railway vehicle injured in collision with other object
V81.4,Person injured while boarding or alighting from railway train or railway vehicle
V81.5,Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle
V81.6,Occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle
V81.82,Occupant of railway train or railway vehicle injured due to object falling onto train
V81.89,Occupant of railway train or railway vehicle injured due to other specified railway accident
V81.9,Occupant of railway train or railway vehicle injured in unspecified railway accident
V81.9XXA,"Occupant of railway train or railway vehicle injured in unspecified railway accident, initial encounter"
V82.0,Occupant of streetcar injured in collision with motor vehicle in nontraffic accident
V82.1,Occupant of streetcar injured in collision with motor vehicle in traffic accident
V82.2,Occupant of streetcar injured in collision with or hit by rolling stock
V82.3,Occupant of streetcar injured in collision with other object
V82.4,Person injured while boarding or alighting from streetcar
V82.5,Occupant of streetcar injured by fall in streetcar
V82.6,Occupant of streetcar injured by fall from streetcar
V82.8,Occupant of streetcar injured in other specified transport accidents
V82.9,Occupant of streetcar injured in unspecified traffic accident
V83,Occupant of special vehicle mainly used on industrial premises injured in transport accident
V83.0,Driver of special industrial vehicle injured in traffic accident
V83.1,Passenger of special industrial vehicle injured in traffic accident
V83.2,Person on outside of special industrial vehicle injured in traffic accident
V83.3,Unspecified occupant of special industrial vehicle injured in traffic accident
V83.5,Driver of special industrial vehicle injured in nontraffic accident
V83.7,Person on outside of special industrial vehicle injured in nontraffic accident
V83.9,Unspecified occupant of special industrial vehicle injured in nontraffic accident
V84,Occupant of special vehicle mainly used in agriculture injured in transport accident
V84.0,Driver of special agricultural vehicle injured in traffic accident
V84.1,Passenger of special agricultural vehicle injured in traffic accident
V84.2,Person on outside of special agricultural vehicle injured in traffic accident
V84.3,Unspecified occupant of special agricultural vehicle injured in traffic accident
V84.5,Driver of special agricultural vehicle injured in nontraffic accident
V84.6,Passenger of special agricultural vehicle injured in nontraffic accident
V84.7,Person on outside of special agricultural vehicle injured in nontraffic accident
V84.9,Unspecified occupant of special agricultural vehicle injured in nontraffic accident
V85,Occupant of special construction vehicle injured in transport accident
V85.0,Driver of special construction vehicle injured in traffic accident
V85.1,Passenger of special construction vehicle injured in traffic accident
V85.2,Person on outside of special construction vehicle injured in traffic accident
V85.3,Unspecified occupant of special construction vehicle injured in traffic accident
V85.4,Person injured while boarding or alighting from special construction vehicle
V85.5,Driver of special construction vehicle injured in nontraffic accident
V85.6,Passenger of special construction vehicle injured in nontraffic accident
V85.7,Person on outside of special construction vehicle injured in nontraffic accident
V85.9,Unspecified occupant of special construction vehicle injured in nontraffic accident
V86,"Occupant of special all-terrain or other off-road motor vehicle, injured in transport accident"
V86.0,Driver of special all-terrain or other off-road motor vehicle injured in traffic accident
V86.01,Driver of ambulance or fire engine injured in traffic accident
V86.02,Driver of snowmobile injured in traffic accident
V86.03,Driver of dune buggy injured in traffic accident
V86.04,Driver of military vehicle injured in traffic accident
V86.05,Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident
V86.05XA,"Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, initial encounter"
V86.06XA,"Driver of dirt bike or motor/cross bike injured in traffic accident, initial encounter"
V86.09,Driver of other special all-terrain or other off-road motor vehicle injured in traffic accident
V86.1,Passenger of special all-terrain or other off-road motor vehicle injured in traffic accident
V86.11,Passenger of ambulance or fire engine injured in traffic accident
V86.12,Passenger of snowmobile injured in traffic accident
V86.12XA,"Passenger of snowmobile injured in traffic accident, initial encounter"
V86.13,Passenger of dune buggy injured in traffic accident
V86.15,Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident
V86.19,Passenger of other special all-terrain or other off-road motor vehicle injured in traffic accident
V86.21,Person on outside of ambulance or fire engine injured in traffic accident
V86.29,Person on outside of other special all-terrain or other off-road motor vehicle injured in traffic accident
V86.3,Unspecified occupant of special all-terrain or other off-road motor vehicle injured in traffic accident
V86.31,Unspecified occupant of ambulance or fire engine injured in traffic accident
V86.32,Unspecified occupant of snowmobile injured in traffic accident
V86.34,Unspecified occupant of military vehicle injured in traffic accident
V86.35,Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident
V86.35XA,"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, initial encounter"
V86.36,Unspecified occupant of dirt bike or motor/cross bike injured in traffic accident
V86.39,Unspecified occupant of other special all-terrain or other off-road motor vehicle injured in traffic accident
V86.4,Person injured while boarding or alighting from special all-terrain or other off-road motor vehicle
V86.41,Person injured while boarding or alighting from ambulance or fire engine
V86.42,Person injured while boarding or alighting from snowmobile
V86.49,Person injured while boarding or alighting from other special all-terrain or other off-road motor vehicle
V86.5,Driver of special all-terrain or other off-road motor vehicle injured in nontraffic accident
V86.51,Driver of ambulance or fire engine injured in nontraffic accident
V86.52,Driver of snowmobile injured in nontraffic accident
V86.53,Driver of dune buggy injured in nontraffic accident
V86.55,Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident
V86.55XA,"Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, initial encounter"
V86.56XA,"Driver of dirt bike or motor/cross bike injured in nontraffic accident, initial encounter"
V86.59,Driver of other special all-terrain or other off-road motor vehicle injured in nontraffic accident
V86.6,Passenger of special all-terrain or other off-road motor vehicle injured in nontraffic accident
V86.61,Passenger of ambulance or fire engine injured in nontraffic accident
V86.62,Passenger of snowmobile injured in nontraffic accident
V86.63,Passenger of dune buggy injured in nontraffic accident
V86.65,Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident
V86.69,Passenger of other special all-terrain or other off-road motor vehicle injured in nontraffic accident
V86.7,Person on outside of special all-terrain or other off-road motor vehicle injured in nontraffic accident
V86.71,Person on outside of ambulance or fire engine injured in nontraffic accident
V86.72,Person on outside of snowmobile injured in nontraffic accident
V86.79,Person on outside of other special all-terrain or other off-road motor vehicles injured in nontraffic accident
V86.9,Unspecified occupant of special all-terrain or other off-road motor vehicle injured in nontraffic accident
V86.91,Unspecified occupant of ambulance or fire engine injured in nontraffic accident
V86.92,Unspecified occupant of snowmobile injured in nontraffic accident
V86.92XA,"Unspecified occupant of snowmobile injured in nontraffic accident, initial encounter"
V86.93,Unspecified occupant of dune buggy injured in nontraffic accident
V86.94,Unspecified occupant of military vehicle injured in nontraffic accident
V86.95,Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident
V86.95XA,"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, initial encounter"
V86.96,Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident
V86.96XA,"Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident, initial encounter"
V86.99,Unspecified occupant of other special all-terrain or other off-road motor vehicle injured in nontraffic accident
V87,Traffic accident of specified type but victim's mode of transport unknown
V87.0,Person injured in collision between car and two- or three-wheeled powered vehicle (traffic)
V87.1,Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle (traffic)
V87.2,Person injured in collision between car and pick-up truck or van (traffic)
V87.3,Person injured in collision between car and bus (traffic)
V87.4,Person injured in collision between car and heavy transport vehicle (traffic)
V87.6,Person injured in collision between railway train or railway vehicle and car (traffic)
V87.7,Person injured in collision between other specified motor vehicles (traffic)
V87.7XXA,"Person injured in collision between other specified motor vehicles (traffic), initial encounter"
V87.8,Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)
V87.8XXA,"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic), initial encounter"
V87.9,Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle (traffic)
V88,Nontraffic accident of specified type but victim's mode of transport unknown
V88.0,"Person injured in collision between car and two- or three-wheeled motor vehicle, nontraffic"
V88.1,"Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle, nontraffic"
V88.2,"Person injured in collision between car and pick-up truck or van, nontraffic"
V88.3,"Person injured in collision between car and bus, nontraffic"
V88.4,"Person injured in collision between car and heavy transport vehicle, nontraffic"
V88.6,"Person injured in collision between railway train or railway vehicle and car, nontraffic"
V88.7,"Person injured in collision between other specified motor vehicle, nontraffic"
V88.8,"Person injured in other specified noncollision transport accidents involving motor vehicle, nontraffic"
V88.9,"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic"
V88.9XXA,"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic, initial encounter"
V89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
V89.0,"Person injured in unspecified motor-vehicle accident, nontraffic"
V89.0XXA,"Person injured in unspecified motor-vehicle accident, nontraffic, initial encounter"
V89.1,"Person injured in unspecified nonmotor-vehicle accident, nontraffic"
V89.2,"Person injured in unspecified motor-vehicle accident, traffic"
V89.2XXA,"Person injured in unspecified motor-vehicle accident, traffic, initial encounter"
V89.3,"Person injured in unspecified nonmotor-vehicle accident, traffic"
V89.9,Person injured in unspecified vehicle accident
V90,Drowning and submersion due to accident to watercraft
V90.04,Drowning and submersion due to sailboat overturning
V90.05,Drowning and submersion due to canoe or kayak overturning
V90.08,Drowning and submersion due to other unpowered watercraft overturning
V90.21,Drowning and submersion due to falling or jumping from burning passenger ship
V90.24,Drowning and submersion due to falling or jumping from burning sailboat
V90.25,Drowning and submersion due to falling or jumping from burning canoe or kayak
V90.29,Drowning and submersion due to falling or jumping from unspecified burning watercraft
V90.33,Drowning and submersion due to falling or jumping from other crushed powered watercraft
V90.36,Drowning and submersion due to falling or jumping from crushed (nonpowered) inflatable craft
V90.82,Drowning and submersion due to other accident to fishing boat
V91,Other injury due to accident to watercraft
V91.0,Burn due to watercraft on fire
V91.01,Burn due to passenger ship on fire
V91.02,Burn due to fishing boat on fire
V91.06,Burn due to (nonpowered) inflatable craft on fire
V91.07,Burn due to water-skis on fire
V91.1,Crushed between watercraft and other watercraft or other object due to collision
V91.12,Crushed between fishing boat and other watercraft or other object due to collision
V91.13,Crushed between other powered watercraft and other watercraft or other object due to collision
V91.14,Crushed between sailboat and other watercraft or other object due to collision
V91.16,Crushed between (nonpowered) inflatable craft and other watercraft or other object due to collision
V91.2,Fall due to collision between watercraft and other watercraft or other object
V91.20,Fall due to collision between merchant ship and other watercraft or other object
V91.21,Fall due to collision between passenger ship and other watercraft or other object
V91.22,Fall due to collision between fishing boat and other watercraft or other object
V91.23,Fall due to collision between other powered watercraft and other watercraft or other object
V91.24,Fall due to collision between sailboat and other watercraft or other object
V91.25,Fall due to collision between canoe or kayak and other watercraft or other object
V91.26,Fall due to collision between (nonpowered) inflatable craft and other watercraft or other object
V91.29,Fall due to collision between unspecified watercraft and other watercraft or other object
V91.3,Hit or struck by falling object due to accident to watercraft
V91.30,Hit or struck by falling object due to accident to merchant ship
V91.32,Hit or struck by falling object due to accident to fishing boat
V91.33,Hit or struck by falling object due to accident to other powered watercraft
V91.34,Hit or struck by falling object due to accident to sailboat
V91.35,Hit or struck by falling object due to accident to canoe or kayak
V91.36,Hit or struck by falling object due to accident to (nonpowered) inflatable craft
V91.37,Hit or struck by falling object due to accident to water-skis
V91.38,Hit or struck by falling object due to accident to other unpowered watercraft
V91.39,Hit or struck by falling object due to accident to unspecified watercraft
V91.8,Other injury due to other accident to watercraft
V91.82,Other injury due to other accident to fishing boat
V91.82XA,"Other injury due to other accident to fishing boat, initial encounter"
V91.83,Other injury due to other accident to other powered watercraft
V91.84,Other injury due to other accident to sailboat
V91.85,Other injury due to other accident to canoe or kayak
V91.86,Other injury due to other accident to (nonpowered) inflatable craft
V91.86XA,"Other injury due to other accident to (nonpowered) inflatable craft, initial encounter"
V91.87,Other injury due to other accident to water-skis
V91.88,Other injury due to other accident to other unpowered watercraft
V91.89,Other injury due to other accident to unspecified watercraft
V91.89XA,"Other injury due to other accident to unspecified watercraft, initial encounter"
V92,"Drowning and submersion due to accident on board watercraft, without accident to watercraft"
V92.0,Drowning and submersion due to fall off watercraft
V92.00,Drowning and submersion due to fall off merchant ship
V92.01,Drowning and submersion due to fall off passenger ship
V92.02,Drowning and submersion due to fall off fishing boat
V92.03,Drowning and submersion due to fall off other powered watercraft
V92.04,Drowning and submersion due to fall off sailboat
V92.05,Drowning and submersion due to fall off canoe or kayak
V92.06,Drowning and submersion due to fall off (nonpowered) inflatable craft
V92.08,Drowning and submersion due to fall off other unpowered watercraft
V92.1,Drowning and submersion due to being thrown overboard by motion of watercraft
V92.12,Drowning and submersion due to being thrown overboard by motion of fishing boat
V92.13,Drowning and submersion due to being thrown overboard by motion of other powered watercraft
V92.15,Drowning and submersion due to being thrown overboard by motion of canoe or kayak
V92.25,Drowning and submersion due to being washed overboard from canoe or kayak
V92.28,Drowning and submersion due to being washed overboard from other unpowered watercraft
V93,"Other injury due to accident on board watercraft, without accident to watercraft"
V93.0,Burn due to localized fire on board watercraft
V93.01,Burn due to localized fire on board passenger vessel
V93.03,Burn due to localized fire on board other powered watercraft
V93.04,Burn due to localized fire on board sailboat
V93.09,Burn due to localized fire on board unspecified watercraft
V93.11,Other burn on board passenger vessel
V93.3,Fall on board watercraft
V93.31,Fall on board passenger ship
V93.32,Fall on board fishing boat
V93.33,Fall on board other powered watercraft
V93.34,Fall on board sailboat
V93.35,Fall on board canoe or kayak
V93.38,Fall on board other unpowered watercraft
V93.39,Fall on board unspecified watercraft
V93.40,Struck by falling object on merchant ship
V93.42,Struck by falling object on fishing boat
V93.49,Struck by falling object on unspecified watercraft
V93.5,Explosion on board watercraft
V93.59,Explosion on board unspecified watercraft
V93.6,Machinery accident on board watercraft
V93.62,Machinery accident on board fishing boat
V93.69,Machinery accident on board unspecified watercraft
V93.8,Other injury due to other accident on board watercraft
V93.82,Other injury due to other accident on board fishing boat
V93.83,Other injury due to other accident on board other powered watercraft
V93.84,Other injury due to other accident on board sailboat
V93.85,Other injury due to other accident on board canoe or kayak
V93.86,Other injury due to other accident on board (nonpowered) inflatable craft
V93.87,Other injury due to other accident on board water-skis
V93.88,Other injury due to other accident on board other unpowered watercraft
V93.89,Other injury due to other accident on board unspecified watercraft
V94,Other and unspecified water transport accidents
V94.0,Hitting object or bottom of body of water due to fall from watercraft
V94.1,Bather struck by watercraft
V94.11,Bather struck by powered watercraft
V94.12,Bather struck by nonpowered watercraft
V94.2,Rider of nonpowered watercraft struck by other watercraft
V94.3,Injury to rider of (inflatable) watercraft being pulled behind other watercraft
V94.31,Injury to rider of (inflatable) recreational watercraft being pulled behind other watercraft
V94.32,Injury to rider of non-recreational watercraft being pulled behind other watercraft
V94.4,Injury to barefoot water-skier
V94.8,Other water transport accident
V94.89,Other water transport accident
V94.9,Unspecified water transport accident
V94.9XXA,"Unspecified water transport accident, initial encounter"
V95,Accident to powered aircraft causing injury to occupant
V95.0,Helicopter accident injuring occupant
V95.00,Unspecified helicopter accident injuring occupant
V95.01,Helicopter crash injuring occupant
V95.1,"Ultralight, microlight or powered-glider accident injuring occupant"
V95.10,"Unspecified ultralight, microlight or powered-glider accident injuring occupant"
V95.12,"Forced landing of ultralight, microlight or powered-glider injuring occupant"
V95.2,Other private fixed-wing aircraft accident injuring occupant
V95.20,"Unspecified accident to other private fixed-wing aircraft, injuring occupant"
V95.21,Other private fixed-wing aircraft crash injuring occupant
V95.22,Forced landing of other private fixed-wing aircraft injuring occupant
V95.29,Other accident to other private fixed-wing aircraft injuring occupant
V95.3,Commercial fixed-wing aircraft accident injuring occupant
V95.30,Unspecified accident to commercial fixed-wing aircraft injuring occupant
V95.31,Commercial fixed-wing aircraft crash injuring occupant
V95.32,Forced landing of commercial fixed-wing aircraft injuring occupant
V95.4,Spacecraft accident injuring occupant
V95.40,Unspecified spacecraft accident injuring occupant
V95.41,Spacecraft crash injuring occupant
V95.43,Spacecraft collision injuring occupant
V95.45,Spacecraft explosion injuring occupant
V95.49,Other spacecraft accident injuring occupant
V95.8,Other powered aircraft accidents injuring occupant
V95.9,Unspecified aircraft accident injuring occupant
V95.9XXA,"Unspecified aircraft accident injuring occupant, initial encounter"
V96.0,Balloon accident injuring occupant
V96.04,Balloon fire injuring occupant
V96.1,Hang-glider accident injuring occupant
V96.13,Hang-glider collision injuring occupant
