eSituation_12,DiagnosisCodeDescr
Q99.8,Other specified chromosome abnormalities
R00,Abnormalities of heart beat
R00.0,"Tachycardia, unspecified"
R00.1,"Bradycardia, unspecified"
R00.2,Palpitations
R00.8,Other abnormalities of heart beat
R00.9,Unspecified abnormalities of heart beat
R01,Cardiac murmurs and other cardiac sounds
R01.0,Benign and innocent cardiac murmurs
R01.1,"Cardiac murmur, unspecified"
R01.2,Other cardiac sounds
R03,"Abnormal blood-pressure reading, without diagnosis"
R03.0,"Elevated blood-pressure reading, without diagnosis of hypertension"
R03.1,Nonspecific low blood-pressure reading
R04,Hemorrhage from respiratory passages
R04.0,Epistaxis
R04.1,Hemorrhage from throat
R04.2,Hemoptysis
R04.81,Acute idiopathic pulmonary hemorrhage in infants
R04.89,Hemorrhage from other sites in respiratory passages
R04.9,"Hemorrhage from respiratory passages, unspecified"
R05,Cough
R05.1,Acute cough
R05.2,Subacute cough
R05.3,Chronic cough
R05.8,Other specified cough
R05.9,"Cough, unspecified"
R06,Abnormalities of breathing
R06.0,Dyspnea
R06.00,"Dyspnea, unspecified"
R06.01,Orthopnea
R06.02,Shortness of breath
R06.03,Acute respiratory distress
R06.09,Other forms of dyspnea
R06.1,Stridor
R06.2,Wheezing
R06.3,Periodic breathing
R06.4,Hyperventilation
R06.5,Mouth breathing
R06.6,Hiccough
R06.7,Sneezing
R06.8,Other abnormalities of breathing
R06.81,"Apnea, not elsewhere classified"
R06.82,"Tachypnea, not elsewhere classified"
R06.83,Snoring
R06.89,Other abnormalities of breathing
R06.9,Unspecified abnormalities of breathing
R07,Pain in throat and chest
R07.0,Pain in throat
R07.1,Chest pain on breathing
R07.2,Precordial pain
R07.8,Other chest pain
R07.81,Pleurodynia
R07.82,Intercostal pain
R07.89,Other chest pain
R07.9,"Chest pain, unspecified"
R09,Other symptoms and signs involving the circulatory and respiratory system
R09.0,Asphyxia and hypoxemia
R09.01,Asphyxia
R09.02,Hypoxemia
R09.1,Pleurisy
R09.2,Respiratory arrest
R09.3,Abnormal sputum
R09.8,Other specified symptoms and signs involving the circulatory and respiratory systems
R09.81,Nasal congestion
R09.82,Postnasal drip
R09.89,Other specified symptoms and signs involving the circulatory and respiratory systems
R10,Abdominal and pelvic pain
R10.0,Acute abdomen
R10.1,Pain localized to upper abdomen
R10.10,"Upper abdominal pain, unspecified"
R10.11,Right upper quadrant pain
R10.12,Left upper quadrant pain
R10.13,Epigastric pain
R10.2,Pelvic and perineal pain
R10.3,Pain localized to other parts of lower abdomen
R10.30,"Lower abdominal pain, unspecified"
R10.31,Right lower quadrant pain
R10.32,Left lower quadrant pain
R10.33,Periumbilical pain
R10.8,Other abdominal pain
R10.81,Abdominal tenderness
R10.811,Right upper quadrant abdominal tenderness
R10.812,Left upper quadrant abdominal tenderness
R10.813,Right lower quadrant abdominal tenderness
R10.814,Left lower quadrant abdominal tenderness
R10.815,Periumbilic abdominal tenderness
R10.816,Epigastric abdominal tenderness
R10.817,Generalized abdominal tenderness
R10.819,"Abdominal tenderness, unspecified site"
R10.82,Rebound abdominal tenderness
R10.821,Right upper quadrant rebound abdominal tenderness
R10.822,Left upper quadrant rebound abdominal tenderness
R10.823,Right lower quadrant rebound abdominal tenderness
R10.824,Left lower quadrant rebound abdominal tenderness
R10.825,Periumbilic rebound abdominal tenderness
R10.826,Epigastric rebound abdominal tenderness
R10.827,Generalized rebound abdominal tenderness
R10.829,"Rebound abdominal tenderness, unspecified site"
R10.83,Colic
R10.84,Generalized abdominal pain
R10.9,Unspecified abdominal pain
R11,Nausea and vomiting
R11.0,Nausea
R11.1,Vomiting
R11.10,"Vomiting, unspecified"
R11.11,Vomiting without nausea
R11.12,Projectile vomiting
R11.13,Vomiting of fecal matter
R11.14,Bilious vomiting
R11.2,"Nausea with vomiting, unspecified"
R12,Heartburn
R13,Aphagia and dysphagia
R13.0,Aphagia
R13.1,Dysphagia
R13.10,"Dysphagia, unspecified"
R13.11,"Dysphagia, oral phase"
R13.19,Other dysphagia
R14,Flatulence and related conditions
R14.0,Abdominal distension (gaseous)
R14.1,Gas pain
R14.2,Eructation
R14.3,Flatulence
R15,Fecal incontinence
R15.0,Incomplete defecation
R15.9,Full incontinence of feces
R16,"Hepatomegaly and splenomegaly, not elsewhere classified"
R16.0,"Hepatomegaly, not elsewhere classified"
R16.1,"Splenomegaly, not elsewhere classified"
R17,Unspecified jaundice
R18,Ascites
R18.0,Malignant ascites
R18.8,Other ascites
R19,Other symptoms and signs involving the digestive system and abdomen
R19.00,"Intra-abdominal and pelvic swelling, mass and lump, unspecified site"
R19.01,"Right upper quadrant abdominal swelling, mass and lump"
R19.02,"Left upper quadrant abdominal swelling, mass and lump"
R19.03,"Right lower quadrant abdominal swelling, mass and lump"
R19.04,"Left lower quadrant abdominal swelling, mass and lump"
R19.05,"Periumbilic swelling, mass or lump"
R19.06,"Epigastric swelling, mass or lump"
R19.07,"Generalized intra-abdominal and pelvic swelling, mass and lump"
R19.09,"Other intra-abdominal and pelvic swelling, mass and lump"
R19.1,Abnormal bowel sounds
R19.11,Absent bowel sounds
R19.12,Hyperactive bowel sounds
R19.15,Other abnormal bowel sounds
R19.3,Abdominal rigidity
R19.30,"Abdominal rigidity, unspecified site"
R19.31,Right upper quadrant abdominal rigidity
R19.32,Left upper quadrant abdominal rigidity
R19.33,Right lower quadrant abdominal rigidity
R19.34,Left lower quadrant abdominal rigidity
R19.35,Periumbilic abdominal rigidity
R19.36,Epigastric abdominal rigidity
R19.37,Generalized abdominal rigidity
R19.4,Change in bowel habit
R19.5,Other fecal abnormalities
R19.6,Halitosis
R19.7,"Diarrhea, unspecified"
R19.8,Other specified symptoms and signs involving the digestive system and abdomen
R20,Disturbances of skin sensation
R20.0,Anesthesia of skin
R20.1,Hypoesthesia of skin
R20.2,Paresthesia of skin
R20.3,Hyperesthesia
R20.8,Other disturbances of skin sensation
R20.9,Unspecified disturbances of skin sensation
R21,Rash and other nonspecific skin eruption
R22,"Localized swelling, mass and lump of skin and subcutaneous tissue"
R22.0,"Localized swelling, mass and lump, head"
R22.1,"Localized swelling, mass and lump, neck"
R22.2,"Localized swelling, mass and lump, trunk"
R22.3,"Localized swelling, mass and lump, upper limb"
R22.30,"Localized swelling, mass and lump, unspecified upper limb"
R22.31,"Localized swelling, mass and lump, right upper limb"
R22.32,"Localized swelling, mass and lump, left upper limb"
R22.33,"Localized swelling, mass and lump, upper limb, bilateral"
R22.4,"Localized swelling, mass and lump, lower limb"
R22.40,"Localized swelling, mass and lump, unspecified lower limb"
R22.41,"Localized swelling, mass and lump, right lower limb"
R22.42,"Localized swelling, mass and lump, left lower limb"
R22.43,"Localized swelling, mass and lump, lower limb, bilateral"
R22.9,"Localized swelling, mass and lump, unspecified"
R23,Other skin changes
R23.0,Cyanosis
R23.1,Pallor
R23.2,Flushing
R23.3,Spontaneous ecchymoses
R23.4,Changes in skin texture
R23.8,Other skin changes
R23.9,Unspecified skin changes
R25,Abnormal involuntary movements
R25.0,Abnormal head movements
R25.1,"Tremor, unspecified"
R25.2,Cramp and spasm
R25.3,Fasciculation
R25.8,Other abnormal involuntary movements
R25.9,Unspecified abnormal involuntary movements
R26,Abnormalities of gait and mobility
R26.0,Ataxic gait
R26.1,Paralytic gait
R26.2,"Difficulty in walking, not elsewhere classified"
R26.81,Unsteadiness on feet
R26.89,Other abnormalities of gait and mobility
R26.9,Unspecified abnormalities of gait and mobility
R27.0,"Ataxia, unspecified"
R27.8,Other lack of coordination
R27.9,Unspecified lack of coordination
R29.0,Tetany
R29.2,Abnormal reflex
R29.3,Abnormal posture
R29.5,Transient paralysis
R29.6,Repeated falls
R29.81,Other symptoms and signs involving the nervous system
R29.810,Facial weakness
R29.818,Other symptoms and signs involving the nervous system
R29.89,Other symptoms and signs involving the musculoskeletal system
R29.890,Loss of height
R29.898,Other symptoms and signs involving the musculoskeletal system
R29.90,Unspecified symptoms and signs involving the nervous system
R29.91,Unspecified symptoms and signs involving the musculoskeletal system
R30,Pain associated with micturition
R30.0,Dysuria
R30.1,Vesical tenesmus
R30.9,"Painful micturition, unspecified"
R31,Hematuria
R31.0,Gross hematuria
R31.1,Benign essential microscopic hematuria
R31.9,"Hematuria, unspecified"
R32,Unspecified urinary incontinence
R33,Retention of urine
R33.0,Drug induced retention of urine
R33.8,Other retention of urine
R33.9,"Retention of urine, unspecified"
R34,Anuria and oliguria
R35,Polyuria
R35.0,Frequency of micturition
R35.8,Other polyuria
R35.89,Other polyuria
R36,Urethral discharge
R36.0,Urethral discharge without blood
R36.9,"Urethral discharge, unspecified"
R39,Other and unspecified symptoms and signs involving the genitourinary system
R39.0,Extravasation of urine
R39.11,Hesitancy of micturition
R39.12,Poor urinary stream
R39.14,Feeling of incomplete bladder emptying
R39.15,Urgency of urination
R39.19,Other difficulties with micturition
R39.198,Other difficulties with micturition
R39.2,Extrarenal uremia
R39.8,Other symptoms and signs involving the genitourinary system
R39.81,Functional urinary incontinence
R39.82,Chronic bladder pain
R39.89,Other symptoms and signs involving the genitourinary system
R39.9,Unspecified symptoms and signs involving the genitourinary system
R40,"Somnolence, stupor and coma"
R40.0,Somnolence
R40.1,Stupor
R40.2,Coma
R40.20,Unspecified coma
R40.2111,"Coma scale, eyes open, never, in the field [EMT or ambulance]"
R40.2121,"Coma scale, eyes open, to pain, in the field [EMT or ambulance]"
R40.2131,"Coma scale, eyes open, to sound, in the field [EMT or ambulance]"
R40.2141,"Coma scale, eyes open, spontaneous, in the field [EMT or ambulance]"
R40.2211,"Coma scale, best verbal response, none, in the field [EMT or ambulance]"
R40.2221,"Coma scale, best verbal response, incomprehensible words, in the field [EMT or ambulance]"
R40.224,"Coma scale, best verbal response, confused conversation"
R40.2241,"Coma scale, best verbal response, confused conversation, in the field [EMT or ambulance]"
R40.2251,"Coma scale, best verbal response, oriented, in the field [EMT or ambulance]"
R40.231,"Coma scale, best motor response, none"
R40.2311,"Coma scale, best motor response, none, in the field [EMT or ambulance]"
R40.2321,"Coma scale, best motor response, extension, in the field [EMT or ambulance]"
R40.2331,"Coma scale, best motor response, abnormal flexion, in the field [EMT or ambulance]"
R40.2341,"Coma scale, best motor response, flexion withdrawal, in the field [EMT or ambulance]"
R40.2351,"Coma scale, best motor response, localizes pain, in the field [EMT or ambulance]"
R40.2361,"Coma scale, best motor response, obeys commands, in the field [EMT or ambulance]"
R40.241,Glasgow coma scale score 13-15
R40.2410,"Glasgow coma scale score 13-15, unspecified time"
R40.2411,"Glasgow coma scale score 13-15, in the field [EMT or ambulance]"
R40.242,Glasgow coma scale score 9-12
R40.2420,"Glasgow coma scale score 9-12, unspecified time"
R40.2421,"Glasgow coma scale score 9-12, in the field [EMT or ambulance]"
R40.243,Glasgow coma scale score 3-8
R40.2430,"Glasgow coma scale score 3-8, unspecified time"
R40.2431,"Glasgow coma scale score 3-8, in the field [EMT or ambulance]"
R40.244,"Other coma, without documented Glasgow coma scale score, or with partial score reported"
R40.3,Persistent vegetative state
R40.4,Transient alteration of awareness
R41,Other symptoms and signs involving cognitive functions and awareness
R41.0,"Disorientation, unspecified"
R41.1,Anterograde amnesia
R41.2,Retrograde amnesia
R41.3,Other amnesia
R41.4,Neurologic neglect syndrome
R41.8,Other symptoms and signs involving cognitive functions and awareness
R41.81,Age-related cognitive decline
R41.82,"Altered mental status, unspecified"
R41.83,Borderline intellectual functioning
R41.84,Other specified cognitive deficit
R41.840,Attention and concentration deficit
R41.841,Cognitive communication deficit
R41.843,Psychomotor deficit
R41.89,Other symptoms and signs involving cognitive functions and awareness
R41.9,Unspecified symptoms and signs involving cognitive functions and awareness
R42,Dizziness and giddiness
R43,Disturbances of smell and taste
R43.8,Other disturbances of smell and taste
R43.9,Unspecified disturbances of smell and taste
R44.0,Auditory hallucinations
R44.1,Visual hallucinations
R44.2,Other hallucinations
R44.3,"Hallucinations, unspecified"
R44.8,Other symptoms and signs involving general sensations and perceptions
R44.9,Unspecified symptoms and signs involving general sensations and perceptions
R45,Symptoms and signs involving emotional state
R45.0,Nervousness
R45.1,Restlessness and agitation
R45.2,Unhappiness
R45.3,Demoralization and apathy
R45.4,Irritability and anger
R45.5,Hostility
R45.6,Violent behavior
R45.7,"State of emotional shock and stress, unspecified"
R45.8,Other symptoms and signs involving emotional state
R45.81,Low self-esteem
R45.82,Worries
R45.83,"Excessive crying of child, adolescent or adult"
R45.84,Anhedonia
R45.85,Homicidal and suicidal ideations
R45.850,Homicidal ideations
R45.851,Suicidal ideations
R45.86,Emotional lability
R45.87,Impulsiveness
R45.88,Nonsuicidal self-harm
R45.89,Other symptoms and signs involving emotional state
R46,Symptoms and signs involving appearance and behavior
R46.0,Very low level of personal hygiene
R46.1,Bizarre personal appearance
R46.2,Strange and inexplicable behavior
R46.3,Overactivity
R46.4,Slowness and poor responsiveness
R46.8,Other symptoms and signs involving appearance and behavior
R46.81,Obsessive-compulsive behavior
R46.89,Other symptoms and signs involving appearance and behavior
R47,"Speech disturbances, not elsewhere classified"
R47.0,Dysphasia and aphasia
R47.01,Aphasia
R47.02,Dysphasia
R47.1,Dysarthria and anarthria
R47.81,Slurred speech
R47.82,Fluency disorder in conditions classified elsewhere
R47.89,Other speech disturbances
R47.9,Unspecified speech disturbances
R48.3,Visual agnosia
R49.0,Dysphonia
R49.22,Hyponasality
R49.8,Other voice and resonance disorders
R49.9,Unspecified voice and resonance disorder
R50,Fever of other and unknown origin
R50.2,Drug induced fever
R50.8,Other specified fever
R50.81,Fever presenting with conditions classified elsewhere
R50.82,Postprocedural fever
R50.83,Postvaccination fever
R50.84,Febrile nonhemolytic transfusion reaction
R50.9,"Fever, unspecified"
R51,Headache
R51.0,"Headache with orthostatic component, not elsewhere classified"
R51.9,"Headache, unspecified"
R52,"Pain, unspecified"
R53,Malaise and fatigue
R53.0,Neoplastic (malignant) related fatigue
R53.1,Weakness
R53.2,Functional quadriplegia
R53.8,Other malaise and fatigue
R53.81,Other malaise
R53.82,"Chronic fatigue, unspecified"
R53.83,Other fatigue
R54,Age-related physical debility
R55,Syncope and collapse
R56,"Convulsions, not elsewhere classified"
R56.0,Febrile convulsions
R56.00,Simple febrile convulsions
R56.01,Complex febrile convulsions
R56.1,Post traumatic seizures
R56.9,Unspecified convulsions
R57,"Shock, not elsewhere classified"
R57.0,Cardiogenic shock
R57.1,Hypovolemic shock
R57.8,Other shock
R57.9,"Shock, unspecified"
R58,"Hemorrhage, not elsewhere classified"
R59.0,Localized enlarged lymph nodes
R59.9,"Enlarged lymph nodes, unspecified"
R60,"Edema, not elsewhere classified"
R60.0,Localized edema
R60.1,Generalized edema
R60.9,"Edema, unspecified"
R61,Generalized hyperhidrosis
R62.50,Unspecified lack of expected normal physiological development in childhood
R62.51,Failure to thrive (child)
R62.7,Adult failure to thrive
R63,Symptoms and signs concerning food and fluid intake
R63.0,Anorexia
R63.1,Polydipsia
R63.3,Feeding difficulties
R63.30,"Feeding difficulties, unspecified"
R63.39,Other feeding difficulties
R63.4,Abnormal weight loss
R63.5,Abnormal weight gain
R63.8,Other symptoms and signs concerning food and fluid intake
R64,Cachexia
R65,Symptoms and signs specifically associated with systemic inflammation and infection
R65.1,Systemic inflammatory response syndrome (SIRS) of non-infectious origin
R65.10,Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction
R65.11,Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction
R65.2,Severe sepsis
R65.20,Severe sepsis without septic shock
R65.21,Severe sepsis with septic shock
R68,Other general symptoms and signs
R68.0,"Hypothermia, not associated with low environmental temperature"
R68.11,Excessive crying of infant (baby)
R68.12,Fussy infant (baby)
R68.13,Apparent life threatening event in infant (ALTE)
R68.2,"Dry mouth, unspecified"
R68.8,Other general symptoms and signs
R68.83,Chills (without fever)
R68.84,Jaw pain
R68.89,Other general symptoms and signs
R69,"Illness, unspecified"
R73.9,"Hyperglycemia, unspecified"
R99,Ill-defined and unknown cause of mortality
S00,Superficial injury of head
S00.0,Superficial injury of scalp
S00.00XA,"Unspecified superficial injury of scalp, initial encounter"
S00.01,Abrasion of scalp
S00.01XA,"Abrasion of scalp, initial encounter"
S00.03,Contusion of scalp
S00.03XA,"Contusion of scalp, initial encounter"
S00.03XD,"Contusion of scalp, subsequent encounter"
S00.1,Contusion of eyelid and periocular area
S00.10XA,"Contusion of unspecified eyelid and periocular area, initial encounter"
S00.11,Contusion of right eyelid and periocular area
S00.11XA,"Contusion of right eyelid and periocular area, initial encounter"
S00.12,Contusion of left eyelid and periocular area
S00.12XA,"Contusion of left eyelid and periocular area, initial encounter"
S00.21,Abrasion of eyelid and periocular area
S00.212,Abrasion of left eyelid and periocular area
S00.219,Abrasion of unspecified eyelid and periocular area
S00.26,Insect bite (nonvenomous) of eyelid and periocular area
S00.271,Other superficial bite of right eyelid and periocular area
S00.272,Other superficial bite of left eyelid and periocular area
S00.3,Superficial injury of nose
S00.30,Unspecified superficial injury of nose
S00.30XA,"Unspecified superficial injury of nose, initial encounter"
S00.30XS,"Unspecified superficial injury of nose, sequela"
S00.31,Abrasion of nose
S00.31XA,"Abrasion of nose, initial encounter"
S00.31XS,"Abrasion of nose, sequela"
S00.33,Contusion of nose
S00.33XA,"Contusion of nose, initial encounter"
S00.33XS,"Contusion of nose, sequela"
S00.35,Superficial foreign body of nose
S00.35XA,"Superficial foreign body of nose, initial encounter"
S00.40,Unspecified superficial injury of ear
S00.401D,"Unspecified superficial injury of right ear, subsequent encounter"
S00.402A,"Unspecified superficial injury of left ear, initial encounter"
S00.409A,"Unspecified superficial injury of unspecified ear, initial encounter"
S00.41,Abrasion of ear
S00.411,Abrasion of right ear
S00.412,Abrasion of left ear
S00.419,Abrasion of unspecified ear
S00.419A,"Abrasion of unspecified ear, initial encounter"
S00.43,Contusion of ear
S00.431,Contusion of right ear
S00.432A,"Contusion of left ear, initial encounter"
S00.46,Insect bite (nonvenomous) of ear
S00.471,Other superficial bite of right ear
S00.5,Superficial injury of lip and oral cavity
S00.50,Unspecified superficial injury of lip and oral cavity
S00.501,Unspecified superficial injury of lip
S00.501A,"Unspecified superficial injury of lip, initial encounter"
S00.502A,"Unspecified superficial injury of oral cavity, initial encounter"
S00.51,Abrasion of lip and oral cavity
S00.511,Abrasion of lip
S00.511A,"Abrasion of lip, initial encounter"
S00.511D,"Abrasion of lip, subsequent encounter"
S00.512,Abrasion of oral cavity
S00.512A,"Abrasion of oral cavity, initial encounter"
S00.522A,"Blister (nonthermal) of oral cavity, initial encounter"
S00.531,Contusion of lip
S00.531A,"Contusion of lip, initial encounter"
S00.562,Insect bite (nonvenomous) of oral cavity
S00.571,Other superficial bite of lip
S00.80,Unspecified superficial injury of other part of head
S00.80XA,"Unspecified superficial injury of other part of head, initial encounter"
S00.81,Abrasion of other part of head
S00.81XA,"Abrasion of other part of head, initial encounter"
S00.81XS,"Abrasion of other part of head, sequela"
S00.83,Contusion of other part of head
S00.83XA,"Contusion of other part of head, initial encounter"
S00.83XS,"Contusion of other part of head, sequela"
S00.90,Unspecified superficial injury of unspecified part of head
S00.90XA,"Unspecified superficial injury of unspecified part of head, initial encounter"
S00.91,Abrasion of unspecified part of head
S00.91XA,"Abrasion of unspecified part of head, initial encounter"
S00.91XS,"Abrasion of unspecified part of head, sequela"
S00.93,Contusion of unspecified part of head
S00.93XA,"Contusion of unspecified part of head, initial encounter"
S00.93XD,"Contusion of unspecified part of head, subsequent encounter"
S00.96,Insect bite (nonvenomous) of unspecified part of head
S01,Open wound of head
S01.0,Open wound of scalp
S01.00XA,"Unspecified open wound of scalp, initial encounter"
S01.00XD,"Unspecified open wound of scalp, subsequent encounter"
S01.01,Laceration without foreign body of scalp
S01.01XA,"Laceration without foreign body of scalp, initial encounter"
S01.01XD,"Laceration without foreign body of scalp, subsequent encounter"
S01.02,Laceration with foreign body of scalp
S01.02XA,"Laceration with foreign body of scalp, initial encounter"
S01.04XA,"Puncture wound with foreign body of scalp, initial encounter"
S01.05XA,"Open bite of scalp, initial encounter"
S01.10,Unspecified open wound of eyelid and periocular area
S01.102,Unspecified open wound of left eyelid and periocular area
S01.109A,"Unspecified open wound of unspecified eyelid and periocular area, initial encounter"
S01.111A,"Laceration without foreign body of right eyelid and periocular area, initial encounter"
S01.112A,"Laceration without foreign body of left eyelid and periocular area, initial encounter"
S01.119,Laceration without foreign body of unspecified eyelid and periocular area
S01.121,Laceration with foreign body of right eyelid and periocular area
S01.129,Laceration with foreign body of unspecified eyelid and periocular area
S01.129A,"Laceration with foreign body of unspecified eyelid and periocular area, initial encounter"
S01.159,Open bite of unspecified eyelid and periocular area
S01.2,Open wound of nose
S01.20,Unspecified open wound of nose
S01.20XA,"Unspecified open wound of nose, initial encounter"
S01.21,Laceration without foreign body of nose
S01.21XA,"Laceration without foreign body of nose, initial encounter"
S01.22XA,"Laceration with foreign body of nose, initial encounter"
S01.23XA,"Puncture wound without foreign body of nose, initial encounter"
S01.24XA,"Puncture wound with foreign body of nose, initial encounter"
S01.25,Open bite of nose
S01.30,Unspecified open wound of ear
S01.302A,"Unspecified open wound of left ear, initial encounter"
S01.309A,"Unspecified open wound of unspecified ear, initial encounter"
S01.31,Laceration without foreign body of ear
S01.311A,"Laceration without foreign body of right ear, initial encounter"
S01.312A,"Laceration without foreign body of left ear, initial encounter"
S01.319A,"Laceration without foreign body of unspecified ear, initial encounter"
S01.342,Puncture wound with foreign body of left ear
S01.4,Open wound of cheek and temporomandibular area
S01.402A,"Unspecified open wound of left cheek and temporomandibular area, initial encounter"
S01.409A,"Unspecified open wound of unspecified cheek and temporomandibular area, initial encounter"
S01.411A,"Laceration without foreign body of right cheek and temporomandibular area, initial encounter"
S01.412A,"Laceration without foreign body of left cheek and temporomandibular area, initial encounter"
S01.419A,"Laceration without foreign body of unspecified cheek and temporomandibular area, initial encounter"
S01.421A,"Laceration with foreign body of right cheek and temporomandibular area, initial encounter"
S01.422A,"Laceration with foreign body of left cheek and temporomandibular area, initial encounter"
S01.441,Puncture wound with foreign body of right cheek and temporomandibular area
S01.442,Puncture wound with foreign body of left cheek and temporomandibular area
S01.50,Unspecified open wound of lip and oral cavity
S01.501,Unspecified open wound of lip
S01.501A,"Unspecified open wound of lip, initial encounter"
S01.502,Unspecified open wound of oral cavity
S01.502A,"Unspecified open wound of oral cavity, initial encounter"
S01.51,Laceration of lip and oral cavity without foreign body
S01.511,Laceration without foreign body of lip
S01.511A,"Laceration without foreign body of lip, initial encounter"
S01.512A,"Laceration without foreign body of oral cavity, initial encounter"
S01.521A,"Laceration with foreign body of lip, initial encounter"
S01.531,Puncture wound without foreign body of lip
S01.541,Puncture wound with foreign body of lip
S01.542,Puncture wound with foreign body of oral cavity
S01.551,Open bite of lip
S01.551A,"Open bite of lip, initial encounter"
S01.552,Open bite of oral cavity
S01.8,Open wound of other parts of head
S01.80,Unspecified open wound of other part of head
S01.80XA,"Unspecified open wound of other part of head, initial encounter"
S01.81,Laceration without foreign body of other part of head
S01.81XA,"Laceration without foreign body of other part of head, initial encounter"
S01.82,Laceration with foreign body of other part of head
S01.82XA,"Laceration with foreign body of other part of head, initial encounter"
S01.83XA,"Puncture wound without foreign body of other part of head, initial encounter"
S01.84,Puncture wound with foreign body of other part of head
S01.84XA,"Puncture wound with foreign body of other part of head, initial encounter"
S01.85XA,"Open bite of other part of head, initial encounter"
S01.9,Open wound of unspecified part of head
S01.90,Unspecified open wound of unspecified part of head
S01.90XA,"Unspecified open wound of unspecified part of head, initial encounter"
S01.90XS,"Unspecified open wound of unspecified part of head, sequela"
S01.91,Laceration without foreign body of unspecified part of head
S01.91XA,"Laceration without foreign body of unspecified part of head, initial encounter"
S01.92,Laceration with foreign body of unspecified part of head
S01.92XA,"Laceration with foreign body of unspecified part of head, initial encounter"
S01.93XA,"Puncture wound without foreign body of unspecified part of head, initial encounter"
S01.94,Puncture wound with foreign body of unspecified part of head
S01.94XA,"Puncture wound with foreign body of unspecified part of head, initial encounter"
S01.95XA,"Open bite of unspecified part of head, initial encounter"
S02,Fracture of skull and facial bones
S02.0,Fracture of vault of skull
S02.0XXA,"Fracture of vault of skull, initial encounter for closed fracture"
S02.1,Fracture of base of skull
S02.10,Unspecified fracture of base of skull
S02.109A,"Fracture of base of skull, unspecified side, initial encounter for closed fracture"
S02.19,Other fracture of base of skull
S02.19XA,"Other fracture of base of skull, initial encounter for closed fracture"
S02.2,Fracture of nasal bones
S02.2XXA,"Fracture of nasal bones, initial encounter for closed fracture"
S02.2XXB,"Fracture of nasal bones, initial encounter for open fracture"
S02.2XXD,"Fracture of nasal bones, subsequent encounter for fracture with routine healing"
S02.3,Fracture of orbital floor
S02.30XA,"Fracture of orbital floor, unspecified side, initial encounter for closed fracture"
S02.32XA,"Fracture of orbital floor, left side, initial encounter for closed fracture"
S02.401A,"Maxillary fracture, unspecified side, initial encounter for closed fracture"
S02.401D,"Maxillary fracture, unspecified side, subsequent encounter for fracture with routine healing"
S02.402A,"Zygomatic fracture, unspecified side, initial encounter for closed fracture"
S02.41,LeFort fracture
S02.42XA,"Fracture of alveolus of maxilla, initial encounter for closed fracture"
S02.5,Fracture of tooth (traumatic)
S02.5XXA,"Fracture of tooth (traumatic), initial encounter for closed fracture"
S02.5XXB,"Fracture of tooth (traumatic), initial encounter for open fracture"
S02.5XXS,"Fracture of tooth (traumatic), sequela"
S02.6,Fracture of mandible
S02.60,"Fracture of mandible, unspecified"
S02.600A,"Fracture of unspecified part of body of mandible, unspecified side, initial encounter for closed fracture"
S02.609,"Fracture of mandible, unspecified"
S02.609A,"Fracture of mandible, unspecified, initial encounter for closed fracture"
S02.609B,"Fracture of mandible, unspecified, initial encounter for open fracture"
S02.609D,"Fracture of mandible, unspecified, subsequent encounter for fracture with routine healing"
S02.69,Fracture of mandible of other specified site
S02.69XA,"Fracture of mandible of other specified site, initial encounter for closed fracture"
S02.69XB,"Fracture of mandible of other specified site, initial encounter for open fracture"
S02.80,"Fracture of other specified skull and facial bones, unspecified side"
S02.80XA,"Fracture of other specified skull and facial bones, unspecified side, initial encounter for closed fracture"
S02.842,"Fracture of lateral orbital wall, left side"
S02.85XA,"Fracture of orbit, unspecified, initial encounter for closed fracture"
S02.9,Fracture of unspecified skull and facial bones
S02.91,Unspecified fracture of skull
S02.91XA,"Unspecified fracture of skull, initial encounter for closed fracture"
S02.91XB,"Unspecified fracture of skull, initial encounter for open fracture"
S02.91XD,"Unspecified fracture of skull, subsequent encounter for fracture with routine healing"
S02.92,Unspecified fracture of facial bones
S02.92XA,"Unspecified fracture of facial bones, initial encounter for closed fracture"
S02.92XB,"Unspecified fracture of facial bones, initial encounter for open fracture"
S02.92XD,"Unspecified fracture of facial bones, subsequent encounter for fracture with routine healing"
S03,Dislocation and sprain of joints and ligaments of head
S03.0,Dislocation of jaw
S03.00XA,"Dislocation of jaw, unspecified side, initial encounter"
S03.03XA,"Dislocation of jaw, bilateral, initial encounter"
S03.1XXA,"Dislocation of septal cartilage of nose, initial encounter"
S03.2,Dislocation of tooth
S04.04,Injury of visual cortex
S04.21XA,"Injury of trochlear nerve, right side, initial encounter"
S04.50XA,"Injury of facial nerve, unspecified side, initial encounter"
S04.52XA,"Injury of facial nerve, left side, initial encounter"
S05,Injury of eye and orbit
S05.0,Injury of conjunctiva and corneal abrasion without foreign body
S05.00,"Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye"
S05.00XA,"Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye, initial encounter"
S05.00XD,"Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye, subsequent encounter"
S05.1,Contusion of eyeball and orbital tissues
S05.10XA,"Contusion of eyeball and orbital tissues, unspecified eye, initial encounter"
S05.11,"Contusion of eyeball and orbital tissues, right eye"
